"Int_no";"Rue_1";"Rue_2";"X";"Y"
1;"Charlevoix";"Notre-Dame";298885,;5038083,
2;"Docteur-Penfield";"Peel";298588,;5040384,
3;"Borden";"Somerled";294064,;5036578,
4;"Cavendish";"Côte-Saint-Luc";293240,;5036867,
5;"Cavendish";"Fielding";293705,;5036607,
6;"Cavendish";"Monkland";294459,;5036147,
7;"Cavendish";"Somerled";293990,;5036449,
8;"Cavendish";"Terrebonne";294224,;5036321,
9;"Coronation";"Côte-Saint-Luc";292805,;5036240,
10;"Côte-Saint-Luc";"Ellendale/Fielding";294122,;5037438,
11;"Côte-Saint-Luc";"Grand Boulevard";293692,;5037250,
12;"Curatteau";"Sherbrooke";301959,;5050476,
13;"Côte-Saint-Luc";"Marcil/Somerled";294733,;5037619,
14;"Côte-Saint-Luc";"Ashdale/Robert-Burns";292453,;5035763,
15;"Côte-Saint-Luc";"Rosedale";292960,;5036471,
16;"Côte-Saint-Luc";"Saint-Ignatius";292738,;5036110,
17;"Côte-Saint-Luc";"Stratford/Wilson";294425,;5037540,
18;"Côte-Saint-Luc";"Walkley";293095,;5036682,
19;"Côte-Saint-Luc";"West Hill";293491,;5037102,
20;"Draper";"Terrebonne";294736,;5037133,
21;"Fielding";"Grand Boulevard";293923,;5037104,
22;"Grand Boulevard";"Monkland";294741,;5036593,
23;"Grand Boulevard";"Somerled";294278,;5036881,
24;"Grand Boulevard";"Terrebonne";294498,;5036742,
25;"Monkland";"Royal";294931,;5036890,
26;"Monkland";"Wilson";295079,;5037116,
27;"Somerled";"Walkley";293880,;5036250,
28;"Somerled";"West Broadway";293420,;5035415,
29;"Addington";"Sherbrooke";296109,;5037011,
30;"Beaconsfield";"Saint-Jacques";295751,;5036046,
31;"Benny";"Sherbrooke";294890,;5036115,
32;"Botrel";"Côte-Saint-Antoine";295867,;5037259,
33;"Botrel";"Notre-Dame-de-Grâce";295708,;5037364,
34;"Botrel";"Sherbrooke";296166,;5037053,
35;"Cavendish";"Saint-Jacques";295086,;5035736,
36;"Cavendish";"Sherbrooke";294714,;5035985,
37;"Coronation";"Monkland/Sherbrooke";294091,;5035536,
38;"Côte-Saint-Antoine";"Décarie";295944,;5037381,
39;"Côte-Saint-Antoine";"Girouard";295784,;5037126,
40;"Côte-Saint-Antoine";"Hampton/Sherbrooke";296397,;5037515,
41;"Côte-Saint-Antoine";"Marcil";295698,;5036992,
42;"Décarie";"Maisonneuve/Upper Lachine";296534,;5037001,
43;"Décarie";"Monkland inter. Est";295451,;5037697,
44;"Décarie";"Monkland inter. Ouest";295398,;5037615,
45;"Décarie";"Notre-Dame-de-Grâce";295784,;5037485,
